Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"COD4","DB8.DBD4",Long,1,R/W,100,,,,,,,,,,"",
"cod7","DB60.DBX0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"code900","DB182.DBX124.2",Boolean,1,R/W,100,,,,,,,,,,"",
"E_Stop","DB111.X16.0",Boolean,1,RO,15000,,,,,,,,,,"",
"FI02321_tank","DB113.D132",Float,1,RO,15000,,,,,,,,,,"",
"FI09711_tank","DB113.D128",Float,1,RO,15000,,,,,,,,,,"",
"FI18021","DB113.D24",Float,1,RO,15000,,,,,,,,,,"",
"FI18021_Total","DB120.D504",Float,1,RO,15000,,,,,,,,,,"",
"FI28021","DB113.D28",Float,1,RO,15000,,,,,,,,,,"",
"FI28021_Total","DB120.D452",Float,1,RO,15000,,,,,,,,,,"",
"FS00411","DB111.X12.7",Boolean,1,RO,15000,,,,,,,,,,"",
"FS02221","DB3.X7.2",Boolean,1,RO,15000,,,,,,,,,,"",
"FS02321","DB3.X7.0",Boolean,1,RO,15000,,,,,,,,,,"",
"FS09721","DB3.X7.3",Boolean,1,RO,15000,,,,,,,,,,"",
"FS13011","DB111.X12.1",Boolean,1,RO,15000,,,,,,,,,,"",
"HZ11011_Fault","DB111.X10.1",Boolean,1,RO,15000,,,,,,,,,,"",
"HZ11011_Run","DB111.X10.0",Boolean,1,RO,15000,,,,,,,,,,"",
"HZ11021_Fault","DB111.X10.3",Boolean,1,RO,15000,,,,,,,,,,"",
"HZ11021_Run","DB111.X10.2",Boolean,1,RO,15000,,,,,,,,,,"",
"I56","I5.6",Boolean,1,R/W,100,,,,,,,,,,"",
"I57","I5.7",Boolean,1,R/W,100,,,,,,,,,,"",
"I67","I6.7",Boolean,1,R/W,100,,,,,,,,,,"",
"I77","I7.7",Boolean,1,R/W,100,,,,,,,,,,"",
"LI02211_tank","DB113.D92",Float,1,RO,15000,,,,,,,,,,"",
"LI02411_tank","DB113.D136",Float,1,RO,15000,,,,,,,,,,"",
"LI09711_tank","DB113.D96",Float,1,RO,15000,,,,,,,,,,"",
"LI11021","DB113.D72",Float,1,RO,15000,,,,,,,,,,"",
"LR09311_Fault","DB3.X1.7",Boolean,1,RO,15000,,,,,,,,,,"",
"LR09311_Run","DB3.X20.5",Boolean,1,RO,15000,,,,,,,,,,"",
"LS00101","DB3.X14.0",Boolean,1,RO,15000,,,,,,,,,,"",
"LS00111","DB3.X14.1",Boolean,1,RO,15000,,,,,,,,,,"",
"LS00131","DB3.X14.2",Boolean,1,RO,15000,,,,,,,,,,"",
"LS00191","DB3.X14.3",Boolean,1,RO,15000,,,,,,,,,,"",
"LS00211","DB3.X15.4",Boolean,1,RO,15000,,,,,,,,,,"",
"LS01211","DB3.X15.0",Boolean,1,RO,15000,,,,,,,,,,"",
"LS01311","DB3.X15.2",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02211","DB3.X13.4",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02221","DB3.X13.3",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02231","DB3.X13.5",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02241","DB3.X13.6",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02291","DB3.X13.7",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02411","DB3.X12.7",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02421","DB3.X13.0",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02431","DB3.X13.1",Boolean,1,RO,15000,,,,,,,,,,"",
"LS02491","DB3.X13.2",Boolean,1,RO,15000,,,,,,,,,,"",
"LS09711","DB3.X14.4",Boolean,1,RO,15000,,,,,,,,,,"",
"LS09721","DB3.X14.5",Boolean,1,RO,15000,,,,,,,,,,"",
"LS09731","DB3.X14.6",Boolean,1,RO,15000,,,,,,,,,,"",
"LS09791","DB3.X14.7",Boolean,1,RO,15000,,,,,,,,,,"",
"LS11011","DB111.X17.3",Boolean,1,RO,15000,,,,,,,,,,"",
"LS11021","DB111.X17.2",Boolean,1,RO,15000,,,,,,,,,,"",
"LS11031","DB111.X17.1",Boolean,1,RO,15000,,,,,,,,,,"",
"LS11091","DB111.X17.0",Boolean,1,RO,15000,,,,,,,,,,"",
"NI02321_tank","DB113.D88",Float,1,RO,15000,,,,,,,,,,"",
"NI13021","DB113.D0",Float,1,RO,15000,,,,,,,,,,"",
"NI17021","DB113.D8",Float,1,RO,15000,,,,,,,,,,"",
"NI18021","DB113.D12",Float,1,RO,15000,,,,,,,,,,"",
"NI27021","DB113.D16",Float,1,RO,15000,,,,,,,,,,"",
"NI28021","DB113.D20",Float,1,RO,15000,,,,,,,,,,"",
"Operation_Selected","DB111.X16.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PC01211_Run","DB4.X1.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PC01311_Run","DB4.X1.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PD00111_Run","DB4.X1.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PD00211_Run","DB4.X1.6",Boolean,1,RO,15000,,,,,,,,,,"",
"PD00411_Run","DB112.X0.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PD09711_Run","DB111.X17.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PDI13021","DB113.D100",Float,1,RO,15000,,,,,,,,,,"",
"PDI14021","DB113.D104",Float,1,RO,15000,,,,,,,,,,"",
"PDI15021","DB113.D108",Float,1,RO,15000,,,,,,,,,,"",
"PDI16021","DB113.D112",Float,1,RO,15000,,,,,,,,,,"",
"PDI16X21","DB113.D116",Float,1,RO,15000,,,,,,,,,,"",
"PI13021","DB113.D32",Float,1,RO,15000,,,,,,,,,,"",
"PI14021","DB113.D36",Float,1,RO,15000,,,,,,,,,,"",
"PI15021","DB113.D40",Float,1,RO,15000,,,,,,,,,,"",
"PI16021","DB113.D44",Float,1,RO,15000,,,,,,,,,,"",
"PI16121","DB113.D48",Float,1,RO,15000,,,,,,,,,,"",
"PI16221","DB113.D52",Float,1,RO,15000,,,,,,,,,,"",
"PI16321","DB113.D56",Float,1,RO,15000,,,,,,,,,,"",
"PI16421","DB113.D164",Float,1,RO,15000,,,,,,,,,,"",
"PI18021","DB113.D60",Float,1,RO,15000,,,,,,,,,,"",
"PI26021","DB113.D64",Float,1,RO,15000,,,,,,,,,,"",
"PK02211_Fault","DB111.X0.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PK02211_Run","DB111.X0.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK02221_Run","DB3.X22.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK02411_Fault","DB3.X1.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK02411_Run","DB3.X21.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK09411_Fault","DB111.X15.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK09411_Run","DB111.X15.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK09711_Fault","DB3.X1.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK09711_Run","DB3.X21.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK13011_Fault","DB111.X0.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK13011_Run","DB111.X0.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK13811_Fault","DB111.X0.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PK13811_Run","DB111.X0.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16111_Fault","DB111.X3.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16111_Run","DB111.X3.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16211_Fault","DB111.X3.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16211_Run","DB111.X3.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16311_Fault","DB111.X3.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16311_Run","DB111.X3.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16411_Fault","DB111.X3.7",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16411_Run","DB111.X3.6",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16511_Fault","DB111.X4.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16511_Run","DB111.X4.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16611_Fault","DB111.X4.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16611_Run","DB111.X4.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16711_Fault","DB111.X4.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16711_Run","DB111.X4.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16811_Fault","DB111.X4.7",Boolean,1,RO,15000,,,,,,,,,,"",
"PK16811_Run","DB111.X4.6",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26111_Fault","DB111.X8.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26111_Run","DB111.X8.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26211_Fault","DB111.X8.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26211_Run","DB111.X8.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26311_Fault","DB111.X8.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26311_Run","DB111.X8.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26411_Fault","DB111.X8.7",Boolean,1,RO,15000,,,,,,,,,,"",
"PK26411_Run","DB111.X8.6",Boolean,1,RO,15000,,,,,,,,,,"",
"Power_Fault","DB111.X16.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16011_Fault","DB111.X1.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16011_Run","DB111.X1.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16021_Fault","DB111.X1.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16021_Run","DB111.X1.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16031_Fault","DB111.X1.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16031_Run","DB111.X1.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16041_Fault","DB111.X1.7",Boolean,1,RO,15000,,,,,,,,,,"",
"PP16041_Run","DB111.X1.6",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26011_Fault","DB111.X6.1",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26011_Run","DB111.X6.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26021_Fault","DB111.X6.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26021_Run","DB111.X6.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26031_Fault","DB111.X6.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26031_Run","DB111.X6.4",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26041_Fault","DB111.X6.7",Boolean,1,RO,15000,,,,,,,,,,"",
"PP26041_Run","DB111.X6.6",Boolean,1,RO,15000,,,,,,,,,,"",
"PS00811","DB111.X12.5",Boolean,1,RO,15000,,,,,,,,,,"",
"PS15021","DB111.X13.0",Boolean,1,RO,15000,,,,,,,,,,"",
"PS17011","DB111.X12.2",Boolean,1,RO,15000,,,,,,,,,,"",
"PS25011","DB111.X12.3",Boolean,1,RO,15000,,,,,,,,,,"",
"PS28011","DB111.X12.4",Boolean,1,RO,15000,,,,,,,,,,"",
"rest_01","DB7.DBX0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"REST_2","DB107.DBX2.4",Boolean,1,R/W,100,,,,,,,,,,"",
"Step_Time_H","DB120.D60",Long,1,RO,15000,,,,,,,,,,"",
"Step_Time_M","DB120.D56",Long,1,RO,15000,,,,,,,,,,"",
"Step_Time_S","DB120.D52",Long,1,RO,15000,,,,,,,,,,"",
"System_Adj_VS16911","DB120.X10.3",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Adj_VS269111","DB120.X15.3",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Clean_Active","DB120.X10.6",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Clean_Active_2","DB120.X15.6",Boolean,1,RO,15000,,,,,,,,,,"",
"System_idle_1","DB120.X10.1",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Operateing_1","DB120.X10.2",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Operateing_2","DB120.X15.2",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Stop_1","DB120.X10.5",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Stop_2","DB120.X15.5",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Stop_Rinse_1","DB120.X10.4",Boolean,1,RO,15000,,,,,,,,,,"",
"System_Stop_Rinse_2","DB120.X15.4",Boolean,1,RO,15000,,,,,,,,,,"",
"TI13021","DB113.D4",Float,1,RO,15000,,,,,,,,,,"",
"TS11011","DB111.X12.0",Boolean,1,RO,15000,,,,,,,,,,"",
"TS11021","DB111.X11.7",Boolean,1,RO,15000,,,,,,,,,,"",
"TS16011","DB111.X14.0",Boolean,1,RO,15000,,,,,,,,,,"",
"TS16111","DB111.X14.2",Boolean,1,RO,15000,,,,,,,,,,"",
"TS16211","DB111.X14.3",Boolean,1,RO,15000,,,,,,,,,,"",
"TS26011","DB111.X14.1",Boolean,1,RO,15000,,,,,,,,,,"",
"UI18021","DB113.D120",Float,1,RO,15000,,,,,,,,,,"",
"UI28021","DB113.D124",Float,1,RO,15000,,,,,,,,,,"",
"VA02311_Open","DB4.X17.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA09711_Open","DB4.X17.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA11011_Open","DB112.X5.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA11021_Open","DB112.X5.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA12011_Open","DB112.X3.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13011_Open","DB112.X3.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13081_Open","DB112.X3.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13111_Open","DB112.X3.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13121_Open","DB112.X3.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13151_Open","DB112.X3.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13161_Open","DB112.X3.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13811_Open","DB112.X4.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VA16921_Open","DB112.X4.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17011_Open","DB112.X4.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17021_Open","DB112.X4.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17031_Open","DB112.X4.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA18011_Open","DB112.X4.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA18021_Open","DB112.X4.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA19411_Open","DB112.X5.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA19412_Open","DB112.X5.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA21011_Open","DB112.X4.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA26921_Open","DB112.X5.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VA27011_Open","DB112.X5.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA28011_Open","DB112.X5.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA28021_Open","DB112.X5.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VS16911_Close","DB111.X11.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VS16911_Open","DB111.X11.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VS26911_Close","DB111.X11.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VS26911_Open","DB111.X11.2",Boolean,1,RO,15000,,,,,,,,,,"",
"water_rinse_Active","DB120.X11.7",Boolean,1,RO,15000,,,,,,,,,,"",
"YI02221_tank","DB113.D76",Float,1,RO,15000,,,,,,,,,,"",
"YI02321_tank","DB113.D80",Float,1,RO,15000,,,,,,,,,,"",
"YI09721_tank","DB113.D84",Float,1,RO,15000,,,,,,,,,,"",
"YI17021","DB113.D68",Float,1,RO,15000,,,,,,,,,,"",
